Name,Intelligence,Strength,Speed,Durability,Power,Combat,Total,Gender,Alignment,Publisher
Big Barda,63.0,90.0,23.0,85.0,42.0,72.0,375.0,Female,Good,DC
Big Daddy,38.0,10.0,12.0,32.0,22.0,64.0,178.0,Male,Good,Icon Comics
Big Man,75.0,12.0,23.0,28.0,19.0,70.0,227.0,Male,Bad,Marvel Comics
Bill Harken,63.0,36.0,33.0,60.0,23.0,40.0,255.0,Male,Good,SyFy
Billy Kincaid,,,,,,,,Male,Bad,Image Comics
Binary,,,,,,,,Female,Good,Marvel Comics
Bird-Brain,25.0,10.0,35.0,28.0,21.0,42.0,161.0,Male,Good,Marvel
Bird-Man,,,,,,,,Male,Bad,Marvel
Bird-Man II,,,,,,,,Male,Bad,Marvel Comics
Birdman,,,,,,,,Male,Good,Hanna-Barbera
Bishop,63.0,14.0,23.0,75.0,85.0,65.0,325.0,Male,Good,Marvel Comics
Bizarro,75.0,95.0,100.0,100.0,95.0,85.0,550.0,Male,Other,DC
Black Abbott,,,,,,,,Male,Bad,Marvel
Black Adam,88.0,100.0,92.0,100.0,89.0,56.0,525.0,Male,Bad,DC Comics
Black Bolt,75.0,67.0,100.0,84.0,100.0,56.0,482.0,Male,Good,Marvel Comics
Black Canary I,,,,,,,,,,
Black Canary II,,,,,,,,,,
Black Cat,75.0,16.0,33.0,10.0,23.0,70.0,227.0,Female,Good,Marvel Comics
Black Goliath,,,,,,,,Male,Good,Marvel Comics
Black Knight III,63.0,10.0,8.0,70.0,43.0,70.0,264.0,Male,Good,Marvel Comics
Black Lightning,50.0,11.0,53.0,28.0,70.0,75.0,287.0,Male,Good,DC Comics
Black Mamba,75.0,10.0,35.0,42.0,78.0,65.0,305.0,Male,Bad,Marvel
Black Panther,88.0,16.0,30.0,60.0,41.0,100.0,335.0,Male,Good,Marvel Comics
Black Widow,75.0,13.0,27.0,32.0,32.0,100.0,279.0,Female,Other,Marvel
Black Widow II,,,,,,,,Female,Good,Marvel Comics
Blackout,63.0,32.0,45.0,80.0,38.0,65.0,323.0,Male,Bad,Marvel
Blackwing,38.0,10.0,35.0,32.0,20.0,56.0,191.0,Female,Bad,Marvel
Blackwulf,50.0,28.0,8.0,30.0,59.0,25.0,200.0,Male,Other,Marvel
Blade,63.0,28.0,38.0,50.0,33.0,90.0,302.0,Male,Bad,DC
Blaquesmith,,,,,,,,,Good,Marvel Comics
Bling!,69.0,14.0,12.0,90.0,52.0,28.0,265.0,Female,Good,Marvel Comics
Blink,50.0,8.0,20.0,28.0,55.0,64.0,225.0,Female,Good,Marvel Comics
Blizzard,,,,,,,,Male,Bad,DC
Blizzard I,,,,,,,,,,
Blizzard II,38.0,10.0,27.0,42.0,47.0,56.0,220.0,Male,Bad,Marvel Comics
Blob,10.0,83.0,23.0,95.0,26.0,72.0,309.0,Male,Bad,Marvel Comics
Bloodaxe,63.0,80.0,33.0,80.0,84.0,84.0,424.0,Female,Bad,Marvel Comics
Bloodhawk,50.0,10.0,50.0,80.0,66.0,64.0,320.0,Male,Good,Marvel
Bloodwraith,,,,,,,,Male,Bad,Marvel Comics
Blue Beetle,,,,,,,,Male,Good,DC Comics
Blue Beetle I,,,,,,,,,,
Blue Beetle II,,,,,,,,Male,Good,DC Comics
Blue Beetle III,50.0,34.0,58.0,80.0,97.0,30.0,349.0,Male,Good,DC Comics
Bolt,,,,,,,,Male,Good,Marvel Comics
Bomb Queen,,,,,,,,Female,Bad,Image Comics
Boom Boom,38.0,10.0,12.0,42.0,56.0,64.0,222.0,,,
Boomer,,,,,,,,Male,Good,Marvel
Booster Gold,56.0,85.0,53.0,50.0,72.0,40.0,356.0,Male,Good,DC Comics
Box,,,,,,,,Male,Good,Marvel Comics
Box III,,,,,,,,,Good,Marvel Comics
Box IV,50.0,75.0,23.0,28.0,11.0,56.0,243.0,,Good,Marvel Comics
Brainiac,100.0,28.0,63.0,90.0,60.0,75.0,416.0,Male,Bad,DC Comics
Brainiac 5,100.0,10.0,23.0,28.0,60.0,32.0,253.0,Male,Good,DC Comics
Brother Voodoo,,,,,,,,Male,Good,Marvel Comics
Bullseye,50.0,11.0,25.0,70.0,20.0,70.0,246.0,Male,Bad,Marvel
Bumblebee,63.0,28.0,25.0,10.0,45.0,35.0,206.0,Female,Good,DC Comics
Bumbleboy,,,,,,,,Male,Good,Marvel Comics
Bushido,38.0,10.0,8.0,10.0,19.0,70.0,155.0,Male,Good,DC Comics
Cable,88.0,48.0,23.0,56.0,100.0,80.0,395.0,Male,Good,Marvel Comics
Callisto,63.0,53.0,23.0,42.0,45.0,85.0,311.0,Female,Other,Marvel
Cameron Hicks,50.0,10.0,23.0,28.0,51.0,70.0,232.0,Male,Good,SyFy
Cannonball,50.0,28.0,67.0,99.0,79.0,56.0,379.0,Male,Good,Marvel Comics
Captain America,63.0,19.0,35.0,56.0,46.0,100.0,319.0,Male,Good,Marvel
Captain Atom,,,,,,,,Male,Good,DC Comics
Captain Britain,75.0,77.0,50.0,60.0,31.0,80.0,373.0,Male,Good,Marvel Comics
Captain Epic,,,,,,,,Male,Good,Team Epic TV
Captain Mar-vell,,,,,,,,Male,Good,Marvel Comics
Captain Marvel,100.0,100.0,67.0,95.0,62.0,56.0,480.0,Female,Good,Marvel Comics
Captain Marvel II,75.0,81.0,27.0,90.0,34.0,56.0,363.0,Male,Good,DC Comics
Captain Planet,,,,,,,,Male,Good,Marvel Comics
Captain Universe,,,,,,,,Agender,Good,Marvel
Carnage,63.0,63.0,70.0,84.0,81.0,90.0,451.0,Agender,Bad,Marvel
Cat,,,,,,,,Female,Good,Marvel Comics
Cat II,,,,,,,,Female,Good,Marvel Comics
Catwoman,63.0,13.0,33.0,28.0,24.0,85.0,246.0,Female,Other,DC
Cecilia Reyes,,,,,,,,Female,Good,Marvel
Century,88.0,80.0,53.0,64.0,74.0,100.0,459.0,Male,Good,Marvel
Cerebra,,,,,,,,Female,Good,Marvel Comics
Chamber,50.0,10.0,20.0,80.0,57.0,64.0,281.0,Male,Good,Marvel Comics
Chameleon,88.0,10.0,12.0,28.0,28.0,28.0,194.0,Male,Other,Marvel
Changeling,63.0,10.0,23.0,42.0,64.0,64.0,266.0,Male,Good,Marvel
Cheetah I,,,,,,,,,,
Cheetah II,,,,,,,,Female,Bad,DC Comics
Cheetah III,,,,,,,,Female,Bad,DC Comics
Chromos,,,,,,,,Male,Bad,Team Epic TV
Chuck Norris,50.0,80.0,47.0,56.0,42.0,99.0,374.0,Male,Good,
Claire Bennet,38.0,9.0,12.0,100.0,73.0,28.0,260.0,Female,Good,NBC - Heroes
Clea,,,,,,,,Female,Good,Marvel
Cloak,63.0,10.0,47.0,64.0,74.0,56.0,314.0,Male,Good,Marvel Comics
Cogliostro,,,,,,,,Male,Bad,Image Comics
Colin Wagner,,,,,,,,Male,Good,HarperCollins
Colossal Boy,,,,,,,,Male,Good,DC Comics
Colossus,63.0,83.0,33.0,100.0,46.0,80.0,405.0,Male,Other,Marvel
Corsair,,,,,,,,Male,Bad,Marvel
Crimson Crusader,,,,,,,,Male,Good,Marvel Comics
Crimson Dynamo I,,,,,,,,,,
Crystal,63.0,16.0,12.0,14.0,57.0,56.0,218.0,Female,Good,Marvel Comics
Curse,,,,,,,,Male,Bad,DC
Cy-Gor,,,,,,,,Male,Bad,Image Comics
Cyborg,75.0,53.0,42.0,85.0,72.0,64.0,391.0,Male,Bad,Marvel
Cyborg Superman,75.0,93.0,92.0,100.0,100.0,80.0,540.0,Male,Bad,DC Comics
Cyclops,75.0,10.0,23.0,42.0,76.0,80.0,306.0,Male,Good,Marvel
Cypher,,,,,,,,,Good,Marvel Comics
Dagger,63.0,10.0,35.0,42.0,52.0,70.0,272.0,Male,Bad,Marvel
Danny Cooper,,,,,,,,Male,Good,HarperCollins
Daphne Powell,38.0,10.0,8.0,10.0,56.0,10.0,132.0,Female,Good,ABC Studios
Daredevil,75.0,13.0,27.0,28.0,57.0,95.0,295.0,Male,Good,Marvel Comics
Darkhawk,50.0,32.0,33.0,70.0,74.0,64.0,323.0,Male,Good,Marvel Comics
Darkman,75.0,14.0,23.0,85.0,12.0,28.0,237.0,Male,Good,Universal Studios
Darkseid,88.0,100.0,23.0,100.0,100.0,95.0,506.0,Male,Bad,DC Comics
Darkside,,,,,,,,,Bad,
Darkstar,38.0,8.0,35.0,42.0,52.0,64.0,239.0,Female,Bad,DC
Dash,9.0,4.0,83.0,42.0,12.0,28.0,178.0,Male,Good,Dark Horse Comics
Dazzler,63.0,10.0,35.0,42.0,64.0,56.0,270.0,Female,Good,Marvel Comics
Deadman,50.0,10.0,33.0,100.0,100.0,42.0,335.0,Male,Good,DC Comics
Deadpool,50.0,15.0,30.0,100.0,100.0,100.0,395.0,Male,Other,Marvel
Deadshot,50.0,10.0,23.0,28.0,47.0,80.0,238.0,Male,Bad,DC Comics
Deathlok,69.0,32.0,30.0,70.0,40.0,60.0,301.0,Male,Other,Marvel
Deathstroke,75.0,30.0,35.0,100.0,36.0,90.0,366.0,Male,Other,DC Comics
Demogoblin,50.0,48.0,42.0,35.0,54.0,60.0,289.0,Male,Other,Marvel
Destroyer,50.0,95.0,58.0,98.0,90.0,70.0,461.0,Male,Bad,Marvel Comics
DL Hawkins,50.0,12.0,12.0,56.0,48.0,56.0,234.0,Male,Good,NBC - Heroes
Doc Samson,75.0,80.0,33.0,80.0,36.0,70.0,374.0,Male,Good,Marvel Comics
Doctor Doom,100.0,32.0,20.0,100.0,93.0,84.0,429.0,Male,Bad,Marvel Comics
Doctor Doom II,,32.0,,,,,,Male,Bad,Marvel Comics
Doctor Fate,81.0,16.0,25.0,80.0,100.0,50.0,352.0,Male,Good,DC Comics
Doctor Octopus,,,,,,,,Male,Bad,Marvel Comics
Doctor Strange,100.0,10.0,12.0,84.0,100.0,60.0,366.0,Male,Good,Marvel Comics
Domino,63.0,10.0,27.0,28.0,49.0,74.0,251.0,Female,Good,Marvel Comics
Donna Troy,,,,,,,,Female,Good,DC
Doomsday,88.0,80.0,67.0,120.0,100.0,90.0,545.0,Male,Bad,DC
Doppelganger,8.0,63.0,60.0,95.0,62.0,84.0,372.0,Male,Bad,Marvel Comics
Dormammu,88.0,95.0,83.0,100.0,100.0,80.0,546.0,Male,Bad,Marvel
Dr Manhattan,88.0,32.0,42.0,95.0,100.0,42.0,399.0,Male,Good,DC Comics
Ego,88.0,80.0,83.0,99.0,71.0,28.0,449.0,Male,Bad,Marvel
Elastigirl,38.0,32.0,12.0,90.0,20.0,14.0,206.0,Female,Good,Dark Horse Comics
Electro,69.0,10.0,50.0,56.0,67.0,64.0,316.0,Male,Good,Marvel
Elektra,63.0,11.0,30.0,28.0,59.0,100.0,291.0,Female,Good,Marvel Comics
Elle Bishop,50.0,8.0,12.0,42.0,63.0,42.0,217.0,Female,Bad,NBC - Heroes
Elongated Man,38.0,10.0,27.0,90.0,41.0,42.0,248.0,Male,Good,DC Comics
Emma Frost,75.0,63.0,35.0,90.0,82.0,42.0,387.0,Female,Other,Marvel
Energy,,,,,,,,Female,Good,HarperCollins
ERG-1,,,,,,,,Male,Good,DC Comics
Evilhawk,50.0,32.0,33.0,70.0,78.0,64.0,327.0,Male,Bad,Marvel Comics
Exodus,63.0,81.0,28.0,28.0,100.0,70.0,370.0,Male,Bad,Marvel Comics
Fabian Cortez,,,,,,,,Male,Bad,Marvel
Falcon,38.0,13.0,50.0,28.0,22.0,64.0,215.0,Male,Good,Marvel Comics
Fallen One II,88.0,85.0,83.0,100.0,100.0,56.0,512.0,Male,Bad,Marvel Comics
Faora,88.0,95.0,75.0,100.0,87.0,90.0,535.0,Female,Bad,DC
Feral,38.0,28.0,45.0,28.0,20.0,70.0,229.0,,Good,Marvel Comics
Fighting Spirit,,,,,,,,Female,Good,DC Comics
Fin Fang Foom,50.0,81.0,23.0,100.0,68.0,70.0,392.0,Male,Bad,Marvel
Firebird,38.0,8.0,40.0,14.0,90.0,42.0,232.0,Female,Good,Marvel Comics
Firelord,38.0,63.0,75.0,90.0,48.0,28.0,342.0,,Good,Marvel Comics
Firestar,50.0,8.0,54.0,55.0,71.0,32.0,270.0,Female,Good,Marvel Comics
Firestorm,50.0,53.0,58.0,56.0,100.0,42.0,359.0,Male,Good,DC Comics
Fixer,,,,,,,,,Bad,Marvel Comics
Flash Gordon,,,,,,,,Male,Good,
Flash I,63.0,10.0,100.0,50.0,57.0,32.0,312.0,,,
Flash II,63.0,10.0,100.0,60.0,66.0,32.0,331.0,Male,Good,DC Comics
Flash III,63.0,10.0,100.0,60.0,83.0,32.0,348.0,Male,Good,DC Comics
Flash IV,63.0,10.0,100.0,32.0,59.0,48.0,312.0,Male,Good,DC Comics
Forge,63.0,10.0,12.0,28.0,12.0,48.0,173.0,Male,Good,Marvel
Franklin Richards,,,,,,,,Male,Good,Marvel
Franklin Storm,38.0,10.0,,,,10.0,,Male,Good,Marvel
Frenzy,63.0,53.0,35.0,100.0,38.0,52.0,341.0,Female,Bad,Marvel Comics
Frigga,,,,,,,,Female,Good,Marvel
Galactus,100.0,100.0,83.0,100.0,100.0,70.0,553.0,Male,Other,Marvel
Gambit,63.0,10.0,23.0,28.0,55.0,84.0,263.0,Male,Good,Marvel Comics
Garbage Man,,,,,,,,Male,Good,Marvel
Gary Bell,63.0,5.0,8.0,10.0,54.0,10.0,150.0,Male,Good,SyFy
General Zod,94.0,100.0,96.0,100.0,94.0,95.0,579.0,Male,Bad,DC Comics
Genesis,,,,,,,,Male,Good,Marvel Comics
Ghost Rider,50.0,55.0,25.0,100.0,70.0,60.0,360.0,Male,Good,Marvel
Ghost Rider II,,,,,,,,,Good,Marvel Comics
Giant-Man,,,,,,,,Male,Good,Marvel Comics
Giant-Man II,,,,,,,,Male,Good,Marvel Comics
Giganta,81.0,89.0,23.0,85.0,32.0,42.0,352.0,Female,Bad,DC Comics
Goblin Queen,75.0,10.0,23.0,28.0,65.0,56.0,257.0,Female,Bad,Marvel Comics
Gog,50.0,34.0,47.0,72.0,39.0,56.0,298.0,Male,Bad,Marvel
Goku,56.0,100.0,75.0,90.0,100.0,100.0,521.0,Male,Good,Shueisha
Goliath,,,,,,,,Male,Bad,Marvel
Goliath II,,,,,,,,,,
Goliath III,,,,,,,,,,
Goliath IV,,,,,,,,Male,Good,Marvel Comics
Granny Goodness,,,,,,,,Female,Bad,DC
Gravity,50.0,32.0,33.0,40.0,72.0,30.0,257.0,Male,Good,Marvel Comics
Green Arrow,75.0,12.0,35.0,28.0,26.0,90.0,266.0,Male,Good,DC
Green Goblin,75.0,48.0,35.0,48.0,38.0,28.0,272.0,Male,Bad,Marvel
Green Goblin II,75.0,55.0,37.0,50.0,38.0,26.0,281.0,Male,Bad,Marvel Comics
Green Goblin III,,,,,,,,Male,Good,Marvel Comics
Green Goblin IV,,,,,,,,Male,Good,Marvel Comics
Groot,75.0,85.0,33.0,70.0,92.0,64.0,419.0,Male,Good,Marvel
Guardian,,,,,,,,Male,Good,Marvel
Guy Gardner,38.0,80.0,27.0,64.0,97.0,64.0,370.0,Male,Good,DC
Hal Jordan,63.0,90.0,53.0,64.0,100.0,56.0,426.0,Male,Good,Marvel
Hancock,50.0,85.0,65.0,100.0,70.0,28.0,398.0,Male,Good,Sony Pictures
Harley Quinn,81.0,12.0,23.0,42.0,30.0,80.0,268.0,Female,Bad,DC Comics
Havok,63.0,10.0,25.0,60.0,71.0,45.0,274.0,Male,Bad,Marvel
Hawk,38.0,38.0,35.0,95.0,36.0,42.0,284.0,Male,Bad,Marvel
Hawkeye,50.0,12.0,23.0,14.0,26.0,80.0,205.0,Male,Good,Marvel Comics
Hawkeye II,50.0,6.0,8.0,10.0,24.0,50.0,148.0,Female,Good,Marvel Comics
Hawkgirl,50.0,28.0,53.0,99.0,74.0,72.0,376.0,Female,Good,DC Comics
Hawkman,,,,,,,,Male,Good,DC Comics
Hawkwoman I,,,,,,,,,,
Hawkwoman II,,,,,,,,Female,Good,DC Comics
Hawkwoman III,,,,,,,,Female,Good,DC Comics
Hellboy,63.0,53.0,23.0,85.0,30.0,75.0,329.0,Male,Good,Dark Horse Comics
Hellcat,50.0,10.0,23.0,42.0,18.0,70.0,213.0,Female,Good,Marvel Comics
Hellstorm,,,,,,,,Male,Good,Marvel Comics
Hercules,63.0,100.0,46.0,85.0,67.0,100.0,461.0,Male,Good,Marvel
Hiro Nakamura,,,,,,,,Male,Good,NBC - Heroes
Hit-Girl,10.0,8.0,23.0,14.0,21.0,56.0,132.0,Female,Good,Icon Comics
Hobgoblin,,,,,,,,Male,Other,Marvel
Hollow,,,,,,,,Male,Bad,Marvel
Hope Summers,63.0,10.0,12.0,32.0,89.0,75.0,281.0,Female,Good,Marvel
Howard the Duck,,,,,,,,Male,Good,Marvel Comics
Hulk,88.0,100.0,47.0,100.0,41.0,85.0,461.0,Male,Good,Marvel
Human Torch,56.0,10.0,63.0,70.0,74.0,42.0,315.0,Male,Good,Marvel
Huntress,69.0,10.0,23.0,28.0,34.0,95.0,259.0,Female,Bad,DC
Husk,63.0,63.0,35.0,78.0,53.0,64.0,356.0,Female,Good,Marvel Comics
Hydro-Man,38.0,13.0,25.0,80.0,66.0,50.0,272.0,Male,Bad,Marvel
Hyperion,63.0,95.0,75.0,95.0,58.0,72.0,458.0,Male,Other,DC
Iceman,63.0,32.0,53.0,100.0,100.0,64.0,412.0,Male,Other,Marvel
Impulse,50.0,10.0,100.0,60.0,63.0,60.0,343.0,Male,Good,Marvel
Ink,38.0,28.0,17.0,40.0,66.0,50.0,239.0,Male,Good,Marvel Comics
Invisible Woman,69.0,10.0,27.0,70.0,74.0,56.0,306.0,Female,Good,Marvel Comics
Iron Fist,75.0,23.0,35.0,42.0,43.0,100.0,318.0,Male,Good,Marvel Comics
Iron Man,100.0,85.0,58.0,85.0,100.0,64.0,492.0,Male,Good,Marvel
Iron Monger,88.0,63.0,25.0,90.0,57.0,56.0,379.0,Male,Bad,Marvel Comics
Ironman,,,,,,,,,,
Isis,75.0,48.0,75.0,46.0,43.0,56.0,343.0,Female,Other,Marvel
Jack Bauer,,,,,,,,Male,Good,
Jack of Hearts,63.0,55.0,100.0,30.0,70.0,30.0,348.0,Male,Good,Marvel Comics
Jack-jack,6.0,34.0,67.0,80.0,69.0,6.0,262.0,,,
Jean Grey,100.0,80.0,67.0,100.0,100.0,70.0,517.0,Female,Good,Marvel
Jennifer Kale,75.0,10.0,35.0,42.0,61.0,72.0,295.0,Female,Good,Marvel
Jessica Sanders,,,,,,,,Female,Good,NBC - Heroes
Jigsaw,,,,,,,,Male,Bad,Marvel Comics
Jim Powell,38.0,38.0,23.0,80.0,23.0,20.0,222.0,Male,Good,ABC Studios
JJ Powell,88.0,10.0,8.0,10.0,14.0,10.0,140.0,Male,Good,ABC Studios
Johann Krauss,,,,,,,,Male,Good,Dark Horse Comics
John Stewart,50.0,80.0,27.0,64.0,94.0,54.0,369.0,Male,Good,DC
John Wraith,75.0,12.0,35.0,28.0,65.0,80.0,295.0,Male,Other,Marvel
Joker,100.0,10.0,12.0,56.0,22.0,90.0,290.0,Male,Bad,DC
Jolt,63.0,12.0,27.0,32.0,31.0,42.0,207.0,Female,Good,Marvel Comics
Jubilee,56.0,8.0,22.0,20.0,66.0,90.0,262.0,Female,Good,Marvel
Juggernaut,44.0,100.0,42.0,100.0,74.0,70.0,430.0,Male,Bad,Marvel
Junkpile,50.0,38.0,17.0,90.0,71.0,30.0,296.0,Male,Bad,Marvel Comics
Justice,50.0,10.0,33.0,70.0,55.0,30.0,248.0,Male,Good,Marvel
Kang,100.0,48.0,58.0,70.0,71.0,70.0,417.0,Male,Bad,Marvel Comics
Kevin 11,25.0,7.0,12.0,14.0,100.0,40.0,198.0,Male,Good,DC Comics
Kick-Ass,10.0,10.0,23.0,14.0,21.0,56.0,134.0,Male,Good,Icon Comics
Kid Flash,25.0,4.0,92.0,42.0,13.0,30.0,206.0,Male,Good,DC Comics
Kid Flash II,,,,,,,,Male,Good,DC Comics
Killer Croc,25.0,48.0,33.0,85.0,36.0,60.0,287.0,Male,Bad,DC Comics
Kilowog,81.0,90.0,53.0,42.0,100.0,80.0,446.0,Male,Good,DC
Kingpin,75.0,18.0,25.0,40.0,13.0,70.0,241.0,Male,Bad,Marvel Comics
Klaw,63.0,38.0,33.0,100.0,62.0,60.0,356.0,Male,Bad,Marvel
Kool-Aid Man,25.0,10.0,12.0,14.0,10.0,14.0,85.0,Male,Good,
Kraven II,50.0,34.0,23.0,28.0,36.0,85.0,256.0,Male,Bad,Marvel Comics
Kraven the Hunter,63.0,32.0,35.0,42.0,26.0,85.0,283.0,Male,Bad,Marvel Comics
Krypto,9.0,80.0,100.0,90.0,72.0,40.0,391.0,Male,Good,DC
Lady Bullseye,,,,,,,,Female,Bad,Marvel Comics
Lady Deathstrike,,,,,,,,Female,Bad,Marvel Comics
Leader,100.0,10.0,12.0,14.0,58.0,42.0,236.0,Male,Bad,Marvel Comics
Leech,25.0,5.0,12.0,14.0,62.0,14.0,132.0,Male,Good,Marvel
Lex Luthor,100.0,10.0,12.0,14.0,10.0,28.0,174.0,Male,Bad,DC Comics
Light Lass,38.0,10.0,35.0,28.0,65.0,42.0,218.0,Female,Good,DC Comics
Lightning Lad,38.0,10.0,23.0,28.0,60.0,42.0,201.0,Male,Good,DC Comics
Lightning Lord,44.0,10.0,23.0,42.0,66.0,42.0,227.0,Male,Bad,Marvel
Living Brain,75.0,53.0,35.0,56.0,31.0,28.0,278.0,Agender,Other,Marvel
Liz Sherman,,,,,,,,Female,Good,Dark Horse Comics
Lizard,38.0,51.0,27.0,70.0,40.0,56.0,282.0,Male,Bad,Marvel
Lobo,88.0,83.0,35.0,100.0,95.0,85.0,486.0,Male,Good,Marvel
Loki,88.0,57.0,47.0,85.0,85.0,56.0,418.0,Male,Bad,DC
Longshot,50.0,10.0,27.0,10.0,71.0,70.0,238.0,Male,Good,Marvel Comics
Luke Cage,44.0,55.0,23.0,95.0,35.0,64.0,316.0,Male,Good,Marvel
Luke Campbell,,,,,,,,Male,Bad,NBC - Heroes
Luna,38.0,6.0,83.0,14.0,53.0,14.0,208.0,Female,Good,Marvel Comics
Lyja,,,,,,,,Female,Other,Marvel
