Name,Identity,Status,Gender,Alignment,Race,Height,Weight,EyeColor,HairColor,SkinColor,Publisher,Year,Appearances,FirstAppearance,AdditionalData
Aaron Cash,Public,Living,Male,Good,,,,,Black,,DC,2003.0,20.0,2003-07-01,
Aaron Cashin,Secret,Living,Male,Bad,,,,,Brown,,Marvel,1992.0,8.0,1992-06-01,
Aaron Chord,Secret,Living,Male,Bad,,,,Brown,Black,,Marvel,1990.0,24.0,1990-08-01,
Aaron Downing,No Dual,Living,Male,Good,,,,,Brown,,Marvel,2010.0,4.0,2010-08-01,
Aaron English,Public,Living,Male,Good,,,,,Strawberry Blond,,Marvel,1977.0,18.0,1977-09-01,
Aaron Hayley,,Living,Male,Good,,,,,,,DC,1998.0,1.0,1998-01-01,
Aaron Helzinger,Secret,Living,Male,Bad,,,,Black,,,DC,1992.0,32.0,1992-08-01,
Aaron Jase,Public,Deceased,Male,Good,,,,,,,DC,1994.0,5.0,1994-11-01,
Aaron Langstrom,Secret,Living,Male,Other,,,,Brown,Brown,,DC,1996.0,10.0,1996-04-01,
Aaron MacKenzie,No Dual,Living,Male,Good,,,,,Blond,,Marvel,2011.0,11.0,2011-04-01,
Aaron Nicholson,Secret,Living,Male,Bad,,,,Brown,Black,,Marvel,1984.0,39.0,1984-06-01,
Aaron Rosenberg,No Dual,Living,Male,Good,,,,,Brown,,Marvel,2002.0,3.0,2002-12-01,
Aaron Salomon,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,1977.0,18.0,1977-11-01,
Aaron Soames,Secret,Deceased,Male,Bad,,,,Blue,White,,Marvel,1980.0,3.0,1980-11-01,
Aaron Stankey,No Dual,Living,Male,Other,,,,,,,Marvel,1977.0,3.0,1977-09-01,
Aaron Thorne,No Dual,Living,Male,Bad,,,,Blue,Brown,,Marvel,1994.0,4.0,1994-07-01,
Aaron Verne,Public,Living,Male,Bad,,,,,Bald,,Marvel,1980.0,2.0,1980-12-01,
Aaron the Aakon,Secret,Living,Male,Other,,,,Brown,Black,,Marvel,1989.0,,1989-08-01,
Aaron the Sorcerer,Secret,Living,Male,Other,,,,,Brown,,Marvel,1962.0,1.0,1962-03-01,
Abadon,,Living,Male,Bad,,,,,Brown,,Marvel,1993.0,4.0,1993-06-01,
Abahla,Secret,Living,Male,Other,,,,,Black,,Marvel,1993.0,1.0,1993-04-01,
Aban,,Living,Male,Bad,,,,,Brown,,Marvel,2009.0,3.0,2009-07-01,
Abara and Cadabra,Secret,Living,Male,Bad,,,,,Black,,Marvel,1947.0,1.0,1947-10-01,
Abarac,No Dual,Living,Male,Good,,,,,White,,Marvel,1970.0,1.0,1970-11-01,
Abbas al-Abbad,,Living,Male,Bad,,,,,,,Marvel,2007.0,1.0,2007-05-01,
Abbess Horror,Secret,Deceased,Female,Bad,,,,,,,Marvel,2006.0,2.0,2006-12-01,
Abbey Sykes,No Dual,Living,Female,Other,,,,Brown,Black,,Marvel,2010.0,5.0,2010-11-01,
Abby Levine,No Dual,Living,Female,Other,,,,Black,Blond,,Marvel,1996.0,4.0,1996-12-01,
Abd-el-Hazred,Secret,Living,Male,Bad,,,,,,,Marvel,1978.0,8.0,1978-08-01,
Abdi,No Dual,Deceased,Male,Bad,,,,,Black,,Marvel,,3.0,,
Abdol,No Dual,Deceased,Male,Other,,,,,,,Marvel,1998.0,1.0,1998-04-01,
Abdul,Secret,Living,Male,Other,,,,,,,Marvel,1982.0,1.0,1982-07-01,
Abdul Faoul,Secret,Deceased,Male,Other,,,,,Black,,Marvel,1977.0,6.0,1977-12-01,
Abdul Qamar,Secret,Deceased,Male,Good,,,,Brown,Black,,Marvel,1980.0,16.0,1980-08-01,
Abdul Smith,Public,Living,Male,Good,,,,,Black,,DC,1975.0,5.0,1975-05-01,
Abe Crane,Secret,Living,Male,Good,,,,Brown,Black,,DC,1988.0,1.0,1988-12-01,
Abe Sapien,,,Male,Good,Icthyo sapien,191.0,65.0,Blue,No hair,Blue,Other,,,,
Abednego Danner,Public,Deceased,Male,Other,,,,Blue,Black,,DC,1988.0,1.0,1988-03-01,
Abel,Secret,Living,Male,Other,,,,Blue,Black,,DC,1969.0,41.0,1969-07-01,
Abel,No Dual,Living,Male,Other,,,,,Bald,,Marvel,2002.0,2.0,2002-06-01,
Abel Stack,No Dual,Living,Male,Good,,,,Blue,Brown,,Marvel,1977.0,4.0,1977-07-01,
Abel Tarrant,Secret,Deceased,Male,Bad,,,,Blue,Brown,,DC,1963.0,30.0,1963-09-01,
Aberdeen Angus,Secret,Living,Male,Other,,,,,,,Marvel,1993.0,3.0,1993-02-01,
Aberham,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,,,,
Abigail,,Living,Female,Other,,,,Brown,Blond,,Marvel,2006.0,4.0,2006-08-01,
Abigail Arcane,Public,Living,Female,Good,,,,Blue,White,,DC,1973.0,182.0,1973-01-01,
Abigail Baxter,,Living,Female,Other,,,,,Black,,Marvel,2000.0,1.0,2000-12-01,
Abigail Boylen,Known to Authorities,Living,Female,Good,,,,Blue,Blond,,Marvel,2007.0,40.0,2007-05-01,
Abigail Brand,Secret,Living,Female,Good,,,,Green,Green,,Marvel,2004.0,97.0,2004-09-01,
Abigail Burns,No Dual,Living,Female,Other,,,,Green,Red,,Marvel,,9.0,,
Abigail Dunton,Secret,Living,Female,Good,,,,,Black,,Marvel,2007.0,7.0,2007-06-01,
Abigail Harkness,,Living,Female,Other,,,,Brown,Brown,,Marvel,2000.0,1.0,2000-01-01,
Abigail Hunkel,Secret,Living,Female,Good,,,,Black,Brown,,DC,1939.0,79.0,1939-06-01,
Abigail Moorland,,Living,Female,Bad,,,,,Black,,DC,1996.0,2.0,1996-06-01,
Abigail Varden,,Living,Female,Other,,,,,,,Marvel,1946.0,1.0,1946-02-01,
Abigail Wright,Secret,Living,Female,Other,,,,Brown,Pink,,Marvel,1987.0,24.0,1987-12-01,
Abin Sur,Public,Deceased,Male,Good,Ungaran,185.0,90.0,Blue,No hair,Red,DC,1959.0,92.0,1959-10-01,
Abira,Public,Living,Female,Good,,,,Red,Red,,Marvel,2010.0,11.0,2010-10-01,
Able Crown,Public,Deceased,Male,Bad,,,,,Black,,DC,2000.0,6.0,2000-05-01,
Able Doone,No Dual,Living,Male,Bad,,,,,Blond,,Marvel,1943.0,1.0,1943-06-01,
Abnegazar,Secret,Living,Male,Bad,,,,Black,,,DC,1962.0,22.0,1962-03-01,
Abner,,Living,Male,Other,,,,Black,Brown,,Marvel,1989.0,1.0,1989-11-01,Mutant
Abner Abernathy,No Dual,Living,Male,Other,,,,,,,Marvel,1982.0,1.0,1982-03-01,
Abner Doolittle,Secret,Living,Male,Other,,,,,Brown,,Marvel,1976.0,6.0,1976-09-01,
Abner Dunson,No Dual,Living,Male,Other,,,,,,,Marvel,1993.0,1.0,1993-05-01,
Abner Girdler,Public,Living,Male,Bad,,,,,Brown,,DC,1995.0,1.0,1995-10-01,
Abner Jenkins,Public,Living,Male,Good,,,,Brown,Brown,,Marvel,1964.0,284.0,1964-08-01,
Abner Jonas,,Living,Male,Bad,,,,Blue,Brown,,Marvel,1965.0,6.0,1965-10-01,
Abner Krill,Secret,Deceased,Male,Bad,,,,Blue,Black,,DC,1962.0,8.0,1962-02-01,
Abner Little,Public,Deceased,Male,Other,,,,Blue,Black,,Marvel,1977.0,19.0,1977-01-01,
Abomination,Secret,Living,Male,Other,Human / radiation,203.0,441.0,Blue,Bald,,Marvel,2011.0,1.0,2011-03-01,Morlock
Abraham Arlington,,Living,Male,Good,,,,,,,DC,2009.0,5.0,2009-05-01,
Abraham Beame,No Dual,Living,Male,Other,,,,Brown,White,,Marvel,1976.0,2.0,1976-08-01,
Abraham Brown,Secret,Living,Male,Other,,,,Brown,Black,,Marvel,1974.0,48.0,1974-04-01,
Abraham Cornelius,,Deceased,Male,Other,,,,,,,Marvel,1991.0,26.0,1991-03-01,
Abraham Erskine,Secret,Deceased,Male,Other,,,,Brown,Black,,Marvel,1941.0,48.0,1941-03-01,
Abraham James,Secret,Living,Male,Bad,,,,,,,Marvel,1979.0,,1979-06-01,
Abraham Kieros,Secret,Living,Male,Other,,,,Blue,Brown,,Marvel,1986.0,19.0,1986-12-01,
Abraham Klein,No Dual,Deceased,Male,Other,,,,Brown,White,,Marvel,1976.0,15.0,1976-01-01,
Abraham Lincoln,Public,Deceased,Male,Other,,,,,Brown,,Marvel,1966.0,8.0,1966-01-01,
Abraham Lincoln,Secret,Living,Male,Other,,,,Grey,Brown,,Marvel,1982.0,2.0,1982-05-01,Robot
Abraham Lincoln,Public,Living,Male,Good,,,,,Black,,DC,1950.0,23.0,1950-09-01,
Abraham Pointe,Public,Living,Male,Other,,,,,Blond,,DC,2010.0,3.0,2010-09-01,
Abraham Verne,Secret,Living,Male,Good,,,,,Bald,,Marvel,2004.0,5.0,2004-01-01,
Abraham Wilson,No Dual,Deceased,Male,Good,,,,,Grey,,Marvel,1996.0,3.0,1996-11-01,Heroes Reborn
Abraham Zimmer,,Deceased,Male,Good,,,,Blue,White,,Marvel,1987.0,44.0,1987-06-01,
Abraham van Helsing,No Dual,Deceased,Male,Good,,,,Brown,Grey,,Marvel,1972.0,7.0,1972-04-01,
Abrams,No Dual,Living,Male,Other,,,,,Blond,,Marvel,1988.0,1.0,1988-05-01,
Abraxas,,,Male,Bad,Cosmic entity,,,Blue,Black,,Marvel,,,,
Abraxis,,Living,Male,Bad,,,,Purple,,,DC,1992.0,4.0,1992-04-01,
Absalom,Secret,Deceased,Male,Other,,,,Blue,Blond,,Marvel,1992.0,6.0,1992-05-01,
Absolon Mercator,Secret,Deceased,Male,Good,,,,Blue,Bald,,Marvel,2004.0,16.0,2004-08-01,
Absorbing Man,,,Male,Bad,Human,193.0,122.0,Blue,No hair,,Marvel,,,,
Absynthe,Secret,Living,Female,Bad,,,,Green,Black,,Marvel,2007.0,6.0,2007-03-01,
Absynthia van Mort,,Living,Female,Other,,,,,Black,,Marvel,1997.0,1.0,1997-11-01,
Abu Ben Hakim,,Living,Male,Good,,,,,,,Marvel,1965.0,2.0,1965-09-01,
Abu Dakir,No Dual,Living,Male,Bad,,,,,White,,Marvel,1967.0,3.0,1967-04-01,
Abu Ho Dadi,Secret,Living,Male,Other,,,,,,,Marvel,1977.0,1.0,1977-08-01,
Abu M\u016bs\u0101 J\u0101bir ibn Hayy\u0101n al-Azdi,Secret,Living,Male,Good,,,,Brown,Black,,Marvel,2010.0,1.0,2010-10-01,
Abu-Gita,Public,Living,Female,Good,,,,,Black,,DC,1999.0,3.0,1999-01-01,
Abu-Jamal Rodriguez,No Dual,Living,Male,Bad,,,,Brown,Black,,Marvel,2005.0,3.0,2005-06-01,
Abwama,No Dual,Deceased,Male,Bad,,,,,Black,,Marvel,1940.0,1.0,1940-06-01,
Abyss,Identity Unknown,Living,Male,Bad,,,,,,,DC,1982.0,1.0,1982-02-01,
Abyss,Secret,Living,Male,Bad,,,,,,,Marvel,2008.0,3.0,2008-01-01,
Abyssma,,Living,Male,Bad,,,,White,,,DC,2008.0,3.0,2008-01-01,
Abysss,Secret,Living,Male,Bad,,,,White,Bald,,Marvel,1994.0,3.0,1994-01-01,
Acantha,,Living,Female,Good,,,,,,,DC,1987.0,2.0,1987-11-01,
Acarinus,,Deceased,Other,Bad,,,,Yellow,,,DC,2009.0,6.0,2009-07-01,
Acba,Secret,Living,Male,Other,,,,White,Bald,,Marvel,1991.0,1.0,1991-08-01,
Accolon,No Dual,Living,Other,Other,,,,,Bald,,Marvel,1981.0,1.0,1981-09-01,
Ace,,Living,Male,Other,,,,,,,Marvel,,,,Pilot
Ace,Secret,Living,Male,Good,,,,Blue,,,Marvel,2006.0,4.0,2006-01-01,G.R.A.M.P.A
Ace,Secret,Living,Male,Good,,,,,,,Marvel,1973.0,1.0,1973-09-01,SHIELD Agent
Ace Arn,Secret,Living,Male,Good,,,,Black,White,,DC,1965.0,22.0,1965-11-01,
Ace Atchinson,Public,Living,Male,Other,,,,Green,Blond,,DC,1998.0,11.0,1998-09-01,
Ace Chance,,Deceased,Male,Bad,,,,,Brown,,DC,1966.0,2.0,1966-10-01,
Ace Fenton,Public,Living,Male,Bad,,,,,,,Marvel,1964.0,1.0,1964-06-01,
Ace High,,Living,Male,Good,,,,,,,DC,1989.0,1.0,1989-04-01,
Ace Maxwell,No Dual,Living,Male,Bad,,,,,Black,,Marvel,1946.0,1.0,1946-03-01,
Ace Spencer,Public,Living,Male,Bad,,,,Brown,Black,,Marvel,1985.0,2.0,1985-10-01,
Ace Turmbull,Secret,Deceased,Male,Bad,,,,,Grey,,Marvel,1948.0,1.0,1948-10-01,
Ace of Clubs,Secret,Deceased,Male,Bad,,,,,Black,,DC,1996.0,1.0,1996-08-01,Arcana
Ace of Clubs III,Secret,Living,Male,Bad,,,,,,,DC,2009.0,2.0,2009-10-01,
Ace of Diamonds,Secret,Deceased,Male,Bad,,,,,Brown,,DC,1996.0,1.0,1996-08-01,Arcana
Ace of Diamonds II,Secret,Living,Male,Bad,,,,,,,DC,2009.0,2.0,2009-10-01,
Ace of Hearts,Secret,Deceased,Female,Bad,,,,,Grey,,DC,1996.0,1.0,1996-08-01,Arcana
Ace of Hearts II,Secret,Living,Male,Bad,,,,,,,DC,2009.0,2.0,2009-10-01,
Ace of Spades,Secret,Deceased,Male,Bad,,,,,Blond,,DC,1995.0,1.0,1995-07-01,Arcana
Ace of Spades I,Secret,Living,Male,Bad,,,,,,,DC,1976.0,3.0,1976-02-01,
Ace of Spades V,Secret,Living,Male,Bad,,,,,,,DC,2005.0,2.0,2005-10-01,
Ace of Spades VI,Secret,Living,Female,Bad,,,,,Black,,DC,2008.0,1.0,2008-12-01,
Ace of Spades VII,Identity Unknown,Living,Male,Bad,,,,,Brown,,DC,2010.0,1.0,2010-10-01,
Ace the Bat-Hound,Secret,Living,Male,Good,,,,Black,Brown,,DC,1991.0,14.0,1991-05-01,
Aces Wilde,Secret,Living,Male,Other,,,,Brown,Black,,Marvel,1970.0,,1970-03-01,
Achak,No Dual,Living,Male,Good,,,,Red,Black,,Marvel,2010.0,1.0,2010-11-01,
Achebe,Secret,Living,Male,Other,,,,Brown,Black,,Marvel,1999.0,12.0,1999-01-01,
Achelous,Secret,Deceased,Male,Bad,,,,Brown,Brown,,Marvel,2005.0,12.0,2005-06-01,
Acheron,,Living,Male,Good,,,,Yellow,Black,,DC,2007.0,3.0,2007-04-01,
Achille Destinee,,Deceased,Male,Bad,,,,Black,White,,DC,1975.0,1.0,1975-06-01,
Achille DiBacco,Secret,Deceased,Male,Bad,,,,,,,Marvel,1979.0,14.0,1979-03-01,
Achilles,Secret,Deceased,Male,Bad,,,,Blue,Blond,,Marvel,1991.0,25.0,1991-03-01,Helmut
Achilles,No Dual,Deceased,Male,Other,,,,,Blond,,Marvel,1979.0,6.0,1979-11-01,Greek Legend
Achilles,Public,Deceased,Male,Good,,,,,Brown,,DC,1944.0,16.0,1944-06-01,
Achilles Milo,Public,Living,Male,Bad,,,,Black,Black,,DC,1957.0,14.0,1957-09-01,
Achilles Warkiller,Secret,Living,Male,Good,,,,Blue,Blond,,DC,2009.0,17.0,2009-05-01,
Achmed El Gib\u00e1r,Secret,Deceased,Male,Other,,,,,White,,Marvel,1976.0,6.0,1976-12-01,
Achmed Korba,Secret,Deceased,Male,Bad,,,,,Bald,,Marvel,1977.0,9.0,1977-03-01,
Acidia,Secret,Living,Female,Bad,,,,Red,Blond,,DC,1998.0,1.0,1998-05-01,
Acidroid,Secret,Deceased,Male,Bad,,,,,Bald,,Marvel,1999.0,1.0,1999-02-01,
Acolyte,Secret,Living,Male,Bad,,,,Red,Blue,,DC,1999.0,2.0,1999-06-01,
Acrobat,Secret,Living,Male,Bad,,,,,Black,,Marvel,1947.0,1.0,1947-10-01,1940s
Acrobat,,Living,Male,Other,,,,,,,Marvel,1977.0,1.0,1977-08-01,Spider-Squad
Acroyear,No Dual,Living,Male,Good,,,,Grey,Bald,,Marvel,1979.0,99.0,1979-01-01,
Actor,Secret,Deceased,Male,Bad,,,,,Black,,Marvel,1963.0,2.0,1963-06-01,Spy
Actuary,Secret,Living,Male,Bad,,,,,White,,DC,1995.0,3.0,1995-03-01,
Ada LaBostrie,Public,Living,Female,Good,,,,Brown,Black,,DC,1988.0,4.0,1988-11-01,
Adahm,No Dual,Living,Male,Bad,,,,Black,Bald,,Marvel,1993.0,1.0,1993-10-01,
Adai,No Dual,Living,Female,Other,,,,Brown,Black,,Marvel,2006.0,1.0,2006-06-01,
Adam,Secret,Living,Male,Bad,,,,Grey,Black,,Marvel,2011.0,7.0,2011-08-01,
Adam,Public,Living,Male,Bad,,,,Brown,Grey,,Marvel,2006.0,4.0,2006-01-01,Priest
Adam,,Living,Male,Other,,,,,Black,,DC,,3.0,,
Adam Able,Secret,Living,Male,Other,,,,,,,Marvel,1962.0,2.0,1962-07-01,
Adam Austin,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,2006.0,2.0,2006-08-01,
Adam Berman,Secret,Living,Male,Good,,,,Red,Black,,Marvel,1997.0,1.0,1997-09-01,
Adam Blake,Public,Living,Male,Good,,,,Hazel,Brown,,DC,1951.0,191.0,1951-06-01,
Adam Bomb,,Living,Male,Bad,,,,Blue,,,DC,2009.0,1.0,2009-06-01,
Adam Brashear,Secret,Living,Male,Good,,,,Brown,Black,,Marvel,2009.0,19.0,2009-01-01,
Adam Clayton,Secret,Living,Male,Other,,,,Blue,Blond,,Marvel,1959.0,3.0,1959-02-01,
Adam Cray,Secret,Deceased,Male,Good,,,,Blue,Red,,DC,1990.0,15.0,1990-08-01,
Adam Crown,Secret,Deceased,Male,Good,,,,Brown,Brown,,Marvel,1991.0,22.0,1991-08-01,
Adam Destine,Secret,Living,Male,Other,,,,,Blond,,Marvel,1994.0,19.0,1994-10-01,
Adam Essex,No Dual,Deceased,Male,Other,,,,,,,Marvel,1996.0,2.0,1996-07-01,
Adam Essex,Secret,Deceased,Male,Other,,,,,,,Marvel,2005.0,1.0,2005-09-01,Earth-41001
Adam Fells,Secret,Deceased,Male,Bad,,,,,,,DC,1999.0,6.0,1999-12-01,
Adam Fisher,Secret,Living,Male,Bad,,,,,,,Marvel,1996.0,3.0,1996-11-01,
Adam Grant,Public,Deceased,Male,Other,,,,,Blond,,DC,1987.0,21.0,1987-06-01,
Adam Harkins,Secret,Deceased,Male,Bad,,,,Green,Red,,Marvel,2006.0,9.0,2006-12-01,
Adam II,Secret,Living,Male,Bad,,,,Blue,Bald,,Marvel,1977.0,11.0,1977-08-01,
Adam K'ad-Mon,No Dual,Living,Male,Other,,,,,,,Marvel,1974.0,,1974-04-01,
Adam Kroft,Secret,Living,Male,Bad,,,,Black,,,DC,1994.0,3.0,1994-11-01,
Adam Mann,,Living,Male,Bad,,,,,,,Marvel,2011.0,3.0,2011-04-01,
Adam Manna,,Living,Male,Other,,,,,Brown,,Marvel,1978.0,2.0,1978-12-01,
Adam Monroe,,,Male,Good,,,,Blue,Blond,,Other,,,,
Adam Neramani,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,1993.0,21.0,1993-10-01,
Adam Peters,No Dual,Living,Male,Bad,,,,Brown,Black,,Marvel,1988.0,1.0,1988-06-01,
Adam Plunder,,Living,Male,Good,,,,,Blond,,Marvel,1988.0,3.0,1988-10-01,
Adam Sharp,Secret,Living,Male,Good,,,,Black,,,DC,2008.0,6.0,2008-07-01,
Adam Simon,,Living,Male,Other,,,,Blue,Black,,Marvel,2008.0,1.0,2008-11-01,
Adam Strange,Public,Living,Male,Good,Human,185.0,88.0,Blue,Blond,,DC,1958.0,177.0,1958-12-01,
Adam Warlock,No Dual,Living,Male,Good,,,,White,Gold,,Marvel,1967.0,252.0,1967-09-01,
Adam Winterbourne,Public,Living,Male,Good,,,,Brown,Black,,DC,1998.0,13.0,1998-06-01,
Adam Wright,No Dual,Living,Male,Other,,,,Blue,Black,,Marvel,1991.0,2.0,1991-01-01,
"Adam, Sector 1055",Public,Living,Male,Good,,,,Purple,Purple,,DC,1993.0,3.0,1993-06-01,
Adamantine,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,2007.0,1.0,2007-02-01,
Adams,,Living,Male,Other,,,,,Blond,,Marvel,1965.0,1.0,1965-03-01,
Adap-Tor,,Living,Other,Other,,,,,,,Marvel,1987.0,1.0,1987-04-01,
Adara,Secret,Deceased,Other,Good,,,,,,,DC,2010.0,15.0,2010-05-01,Entity
Adara,Secret,Deceased,Female,Bad,,,,Blue,Green,,DC,1994.0,6.0,1994-11-01,
Adder,Secret,Deceased,Male,Bad,,,,,,,DC,1998.0,1.0,1998-07-01,
Addison Blackburn,No Dual,Living,Male,Bad,,,,,Grey,,Marvel,1980.0,1.0,1980-04-01,
Addison Falk,Secret,Deceased,Male,Bad,,,,Green,Red,,Marvel,1998.0,3.0,1998-10-01,
Adele Drew,Public,Deceased,Female,Other,,,,Brown,Brown,,DC,1996.0,2.0,1996-06-01,
Adele Hawthorne,Secret,Living,Female,Bad,,,,,Blond,,Marvel,1997.0,1.0,1997-08-01,
Adelicia von Krupp,No Dual,Living,Female,Bad,,,,Blue,Blond,,Marvel,1997.0,1.0,1997-07-01,
Adeline Kane,Secret,Deceased,Female,Other,,,,Green,Brown,,DC,1983.0,68.0,1983-08-01,
Adeline Prescott,Public,Living,Female,Good,,,,Brown,Brown,,DC,2008.0,3.0,2008-05-01,
Adellca,Secret,Deceased,Female,Good,,,,Black,Black,,DC,2011.0,1.0,2011-09-01,
Adelynn Duquesne,Secret,Living,Female,Good,,,,,Blond,,Marvel,,2.0,,
Adept,Secret,Living,Male,Good,,,,,,,DC,2008.0,3.0,2008-05-01,
Adewale Ekoku,Secret,Living,Male,Good,,,,Brown,Bald,,Marvel,2002.0,1.0,2002-07-01,
Adjudicator,Secret,Living,Male,Other,,,,Black,Black,,Marvel,2007.0,4.0,2007-08-01,
Adjunct,Secret,Living,Female,Good,,,,Purple,Purple,,Marvel,1992.0,1.0,1992-01-01,
