Name,Identity,Status,Gender,Alignment,Race,Height,Weight,EyeColor,HairColor,SkinColor,Publisher,Year,Appearances,FirstAppearance,AdditionalData,Intelligence,Strength,Speed,Durability,Power,Combat,Total
Scott Summers,Public,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1963.0,1955.0,1963-09-01,,,,,,,,
Scott Summers,,Living,Male,Bad,,,,,,,Marvel,1992.0,3.0,1992-06-01,Doppelganger,,,,,,,
Jonathan Storm,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1961.0,1934.0,1961-11-01,,,,,,,,
Jonathan Storm,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1996.0,13.0,1996-11-01,Heroes Reborn,,,,,,,
Jonathan Storm,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,1962.0,8.0,1962-01-01,"Skrull, Cow",,,,,,,
Jonathan Storm,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1973.0,1.0,1973-06-01,Counter-Earth,,,,,,,
Jonathan Storm,,Living,Male,Bad,,,,,,,Marvel,1992.0,1.0,1992-06-01,Doppelganger,,,,,,,
Henry McCoy,Public,Living,Male,Good,,,,Blue,Blue,,Marvel,1963.0,1825.0,1963-09-01,,,,,,,,
Henry McCoy,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008.0,8.0,2008-06-01,Skrull,,,,,,,
Henry McCoy,Secret,Deceased,Male,Bad,,,,Blue,Blue,,Marvel,1993.0,2.0,1993-12-01,X-Beast,,,,,,,
Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1961.0,1713.0,1961-11-01,,,,,,,,
Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1996.0,13.0,1996-11-01,Heroes Reborn,,,,,,,
Susan Storm,Secret,Deceased,Male,Bad,,,,Green,Blond,,Marvel,2008.0,5.0,2008-06-01,"Retro, Skrull",,,,,,,
Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,2007.0,4.0,2007-02-01,Onslaught Reborn,,,,,,,
Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1973.0,1.0,1973-06-01,Counter-Earth,,,,,,,
Namor McKenzie,No Dual,Living,Male,Neutral,,,,Green,Black,,Marvel,,1528.0,,,,,,,,,
Namor McKenzie,Public,Living,Male,Neutral,,,,,Black,,Marvel,1996.0,3.0,1996-12-01,Heroes Reborn,,,,,,,
Namor McKenzie,Public,Living,Male,Good,,,,Green,Black,,Marvel,2007.0,3.0,2007-03-01,Onslaught Reborn,,,,,,,
Namor McKenzie,Secret,Living,Male,Neutral,,,,Blue,Black,,Marvel,2003.0,1.0,2003-12-01,N2,,,,,,,
Ororo Munroe,Public,Living,Female,Good,,,,Blue,White,,Marvel,1975.0,1512.0,1975-05-01,,,,,,,,
Ororo Munroe,Secret,Deceased,Female,Bad,,,,Blue,Black,,Marvel,,2.0,,Revenant,,,,,,,
Ororo Munroe,,Living,Female,Bad,,,,,,,Marvel,1992.0,1.0,1992-09-01,Doppelganger,,,,,,,
Clinton Barton,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1964.0,1394.0,1964-09-01,,,,,,,,
Clinton Barton,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008.0,6.0,2008-06-01,Skrull,,,,,,,
Matthew Murdock,Public,Living,Male,Good,,,,Blue,Red,,Marvel,1964.0,1338.0,1964-04-01,,,,,,,,
Matthew Murdock,,Deceased,Male,Bad,,,,Black,,,Marvel,1992.0,10.0,1992-06-01,Hellspawn,,,,,,,
Matthew Murdock,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008.0,1.0,2008-05-01,Skrull,,,,,,,
Stephen Strange,Public,Living,Male,Good,,,,Grey,Black,,Marvel,1963.0,1307.0,1963-07-01,,,,,,,,
Stephen Strange,,Living,Male,Bad,,,,Grey,Black,,Marvel,1992.0,4.0,1992-10-01,Counter-Earth,,,,,,,
Mary Jane Watson,No Dual,Living,Female,Good,,,,Green,Red,,Marvel,1965.0,1304.0,1965-06-01,,,,,,,,
John Jonah Jameson,No Dual,Living,Male,Neutral,,,,Blue,Black,,Marvel,1963.0,1266.0,1963-03-01,,,,,,,,
Robert Drake,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1963.0,1265.0,1963-09-01,,,,,,,,
Henry Pym,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1962.0,1237.0,1962-01-01,,,,,,,,
Henry Pym,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008.0,3.0,2008-08-01,Giant-Man Skrull,,,,,,,
Henry Pym,Secret,Living,Male,Good,,,,,,,Marvel,2007.0,2.0,2007-03-01,Onslaught Reborn,,,,,,,
Charles Xavier,Public,Deceased,Male,Good,,,,Blue,Bald,,Marvel,1963.0,1233.0,1963-09-01,,,,,,,,
Charles Xavier,Secret,Living,Male,Bad,,,,,Bald,,Marvel,2013.0,17.0,2013-01-01,Legion Personality,,,,,,,
Charles Xavier,,Living,Male,Bad,,,,,,,Marvel,1977.0,5.0,1977-08-01,Entity,,,,,,,
Charles Xavier,,Living,Male,Bad,,,,,,,Marvel,1990.0,5.0,1990-10-01,War Skrull,,,,,,,
Charles Xavier,Secret,Living,Male,Bad,,,,,Bald,,Marvel,1976.0,,1976-06-01,X-Sentinel,,,,,,,
Charles Xavier,,Living,Male,Bad,,,,,,,Marvel,1990.0,,1990-06-01,Masque's Doppelganger,,,,,,,
Charles Xavier,,Living,Male,,,,,,,,Marvel,1992.0,,1992-06-01,Infinity War Doppelganger,,,,,,,
Warren Worthington III,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1963.0,1230.0,1963-09-01,,,,,,,,
Warren Worthington III,Secret,Living,Female,Bad,,,,,Blond,,Marvel,1990.0,,1990-06-01,Masque's Doppelganger,,,,,,,
Piotr Rasputin,Secret,Living,Male,Good,,,,Blue,Black,,Marvel,1975.0,1162.0,1975-05-01,,,,,,,,
Piotr Rasputin,,Living,Male,Bad,,,,,Black,,Marvel,1992.0,3.0,1992-06-01,Doppelganger,,,,,,,
Wanda Maximoff,Public,Living,Female,Good,,,,Green,Brown,,Marvel,1964.0,1161.0,1964-03-01,,,,,,,,
Wanda Maximoff,Secret,Living,Female,Bad,,,,Green,Bald,,Marvel,2008.0,3.0,2008-06-01,Skrull,,,,,,,
Wanda Maximoff,Secret,Deceased,Female,Bad,,,,Blue,Auburn,,Marvel,2012.0,3.0,2012-01-01,Clone,,,,,,,
Wanda Maximoff,Public,Living,Female,Neutral,,,,,Brown,,Marvel,1996.0,1.0,1996-11-01,Heroes Reborn,,,,,,,
Nicholas Fury,No Dual,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1963.0,1137.0,1963-05-01,,,,,,,,
Nicholas Fury,Secret,Deceased,Male,Bad,,,,Brown,Brown,,Marvel,1977.0,24.0,1977-04-01,LMD,,,,,,,
Nicholas Fury,Secret,Living,Male,Bad,,,,Blue,Brown,,Marvel,1996.0,22.0,1996-11-01,"LMD, Heroes Reborn",,,,,,,
Nicholas Fury,,Living,Male,Good,,,,One Eye,,,Marvel,1996.0,6.0,1996-09-01,Heroes Reborn,,,,,,,
Janet van Dyne,Public,Living,Female,Good,,,,Blue,Auburn,,Marvel,1963.0,1120.0,1963-06-01,,,,,,,,
Jean Grey,Public,Deceased,Female,Good,Mutant,168.0,52.0,Green,Red,,Marvel,1963.0,1107.0,1963-09-01,,100.0,80.0,67.0,100.0,100.0,70.0,517.0
Jean Grey,Secret,Deceased,Female,Bad,Mutant,168.0,52.0,Green,Red,,Marvel,2008.0,6.0,2008-06-01,Skrull,100.0,80.0,67.0,100.0,100.0,70.0,517.0
Jean Grey,Secret,Deceased,Female,Bad,Mutant,168.0,52.0,Green,Red,,Marvel,1979.0,1.0,1979-09-01,Lady Grey,100.0,80.0,67.0,100.0,100.0,70.0,517.0
Jean Grey,Secret,Living,Female,Bad,Mutant,168.0,52.0,Green,Red,,Marvel,1992.0,1.0,1992-09-01,Doppelganger,100.0,80.0,67.0,100.0,100.0,70.0,517.0
Natalia Romanova,Public,Living,Female,Good,,,,Green,Red,,Marvel,1964.0,1050.0,1964-04-01,,,,,,,,
Natalia Romanova,,Deceased,Female,Bad,,,,Green,Auburn,,Marvel,2010.0,2.0,2010-11-01,Dr Bong Clone,,,,,,,
Kurt Wagner,Secret,Living,Male,Good,,,,Yellow,Blue,,Marvel,1975.0,1047.0,1975-05-01,,,,,,,,
Vision,Secret,Living,Male,Good,Android,191.0,135.0,Gold,Bald,Red,Marvel,1968.0,1007.0,1968-10-01,,100.0,72.0,54.0,95.0,76.0,70.0,467.0
Vision,Public,Deceased,Male,Good,Android,191.0,135.0,Gold,Bald,Red,Marvel,2005.0,119.0,2005-08-01,Jonas,100.0,72.0,54.0,95.0,76.0,70.0,467.0
Vision,Secret,Deceased,Male,Bad,Android,191.0,135.0,Green,Bald,Red,Marvel,2008.0,6.0,2008-06-01,Skrull,100.0,72.0,54.0,95.0,76.0,70.0,467.0
Vision,Secret,Living,Male,Bad,Android,191.0,135.0,Red,Bald,Red,Marvel,1992.0,3.0,1992-06-01,Doppelganger,100.0,72.0,54.0,95.0,76.0,70.0,467.0
Vision,Secret,Living,Agender,Bad,Android,191.0,135.0,Gold,Bald,Red,Marvel,1998.0,1.0,1998-10-01,Taskmaster Robot,100.0,72.0,54.0,95.0,76.0,70.0,467.0
Vision,Public,Living,Male,Good,Android,191.0,135.0,White,Bald,Red,Marvel,2007.0,1.0,2007-09-01,Onslaught Reborn,100.0,72.0,54.0,95.0,76.0,70.0,467.0
May Reilly,No Dual,Living,Female,Good,,,,Blue,Grey,,Marvel,1962.0,1000.0,1962-08-01,,,,,,,,
May Reilly,Public,Deceased,Female,Bad,,,,Blue,Grey,,Marvel,1994.0,,1994-08-01,Impostor,,,,,,,
Katherine Pryde,Secret,Living,Female,Good,,,,Hazel,Brown,,Marvel,1980.0,886.0,1980-01-01,,,,,,,,
Carol Danvers,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1968.0,881.0,1968-03-01,,,,,,,,
Carol Danvers,Secret,Deceased,Female,Bad,,,,Green,Blond,,Marvel,2008.0,5.0,2008-06-01,"Retro, Skrull",,,,,,,
Carol Danvers,Secret,Deceased,Female,Bad,,,,Green,Blond,,Marvel,2008.0,3.0,2008-05-01,"Modern, Skrull",,,,,,,
Jennifer Walters,Public,Living,Female,Good,,,,Green,Brown,,Marvel,1980.0,881.0,1980-02-01,,,,,,,,
Jennifer Walters,Public,Living,Female,Good,,,,Green,Brown,,Marvel,1996.0,5.0,1996-11-01,Heroes Reborn,,,,,,,
Jennifer Walters,Secret,Living,Female,Bad,,,,,Green,,Marvel,1998.0,1.0,1998-05-01,Amazon,,,,,,,
Emma Frost,Public,Living,Female,Neutral,,178.0,65.0,Blue,Brown,,Marvel,1980.0,880.0,1980-01-01,,75.0,63.0,35.0,90.0,82.0,42.0,387.0
Emma Frost,Secret,Deceased,Female,Bad,,178.0,65.0,Green,Blond,,Marvel,2008.0,6.0,2008-06-01,Skrull,75.0,63.0,35.0,90.0,82.0,42.0,387.0
Frank Castle,Public,Living,Male,Neutral,,,,Blue,Black,,Marvel,1974.0,878.0,1974-02-01,,,,,,,,
Luke Cage,No Dual,Living,Male,Good,Human,198.0,191.0,Brown,Black,,Marvel,1972.0,856.0,1972-06-01,,44.0,55.0,23.0,95.0,35.0,64.0,316.0
Luke Cage,Secret,Deceased,Male,Bad,Human,198.0,191.0,Green,Bald,,Marvel,2008.0,6.0,2008-06-01,Skrull,44.0,55.0,23.0,95.0,35.0,64.0,316.0
Rogue,Secret,Living,Female,Good,,173.0,54.0,Green,Auburn,,Marvel,,850.0,,Anna Marie,75.0,10.0,12.0,28.0,80.0,80.0,285.0
Conan,No Dual,Living,Male,Neutral,,,,Blue,Black,,Marvel,1970.0,787.0,1970-10-01,,,,,,,,
Joseph Robertson,No Dual,Living,Male,Good,,,,Brown,White,,Marvel,1967.0,752.0,1967-08-01,,,,,,,,
Pietro Maximoff,Public,Living,Male,Good,,,,Blue,Silver,,Marvel,1964.0,740.0,1964-03-01,,,,,,,,
Pietro Maximoff,Secret,Deceased,Male,Bad,,,,Blue,Silver,,Marvel,2012.0,3.0,2012-01-01,Clone,,,,,,,
Hercules,No Dual,Living,Male,Good,Demi-god,196.0,146.0,Blue,Brown,,Marvel,1965.0,725.0,1965-10-01,,63.0,100.0,46.0,85.0,67.0,100.0,461.0
Hercules,Known to Authorities,Living,Male,Good,Demi-god,196.0,146.0,Blue,Black,,Marvel,2007.0,2.0,2007-02-01,CSA,63.0,100.0,46.0,85.0,67.0,100.0,461.0
Hercules,Secret,Living,Male,Good,Demi-god,196.0,146.0,Blue,Brown,,Marvel,1943.0,1.0,1943-03-01,Empowered Marvel Boy,63.0,100.0,46.0,85.0,67.0,100.0,461.0
Hercules,Secret,Living,Male,Good,Demi-god,196.0,146.0,Blue,Blond,,Marvel,1944.0,1.0,1944-05-01,Captain America Past Life,63.0,100.0,46.0,85.0,67.0,100.0,461.0
Hercules,,Living,Male,Bad,Demi-god,196.0,146.0,Blue,Brown,,Marvel,1998.0,1.0,1998-05-01,Demi-God,63.0,100.0,46.0,85.0,67.0,100.0,461.0
Hercules,,Living,Male,Neutral,Demi-god,196.0,146.0,Blue,Black,,DC,1991.0,11.0,1991-09-01,,63.0,100.0,46.0,85.0,67.0,100.0,461.0
Victor von Doom,Public,Living,Male,Bad,,,,Brown,Brown,,Marvel,1962.0,721.0,1962-07-01,,,,,,,,
Victor von Doom,Public,Living,Male,Bad,,,,,,,Marvel,1996.0,9.0,1996-11-01,Heroes Reborn,,,,,,,
Victor von Doom,Public,Living,Male,Good,,,,,,,Marvel,1973.0,8.0,1973-02-01,Counter-Earth,,,,,,,
Victor von Doom,,Living,Male,,,,,,,,Marvel,1978.0,8.0,1978-04-01,Clone,,,,,,,
Victor von Doom,Secret,Living,Male,Bad,,,,Red,,,Marvel,1992.0,2.0,1992-09-01,Impostor,,,,,,,
Max Eisenhardt,Public,Living,Male,Neutral,,,,Grey,Bald,,Marvel,1963.0,709.0,1963-09-01,,,,,,,,
Max Eisenhardt,Secret,Living,Male,Bad,,,,Blue,White,,Marvel,1995.0,52.0,1995-12-01,Joseph,,,,,,,
Max Eisenhardt,Secret,Deceased,Male,Bad,,,,,,,Marvel,1968.0,7.0,1968-11-01,Machinesmith Robot,,,,,,,
Max Eisenhardt,,Living,,Bad,,,,,,,Marvel,1979.0,,1979-08-01,Arcade Robot,,,,,,,
Elizabeth Braddock,Secret,Living,Female,Neutral,,,,Blue,Purple,,Marvel,1976.0,708.0,1976-12-01,,,,,,,,
Elizabeth Braddock,Secret,Deceased,Female,Bad,,,,Violet,Purple,,Marvel,,4.0,,Revenant,,,,,,,
Elizabeth Braddock,Secret,Deceased,,Bad,,,,,,,Marvel,1991.0,2.0,1991-05-01,War Skrull,,,,,,,
Norrin Radd,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,1966.0,696.0,1966-03-01,,,,,,,,
Norrin Radd,,Deceased,Male,Good,,,,Silver,Bald,,Marvel,1996.0,8.0,1996-11-01,Heroes Reborn,,,,,,,
Norman Osborn,Public,Living,Male,Bad,,,,Blue,Auburn,,Marvel,1964.0,692.0,1964-07-01,,,,,,,,
Eugene Thompson,Secret,Living,Male,Good,,,,Blue,Strawberry Blond,,Marvel,1962.0,689.0,1962-08-01,,,,,,,,
Simon Williams,Public,Living,Male,Good,,,,Red,Grey,,Marvel,1964.0,686.0,1964-10-01,,,,,,,,
Simon Williams,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008.0,6.0,2008-06-01,Skrull,,,,,,,
Simon Williams,Secret,Living,Male,Bad,,,,,,,Marvel,1997.0,3.0,1997-05-01,Heroes Reborn,,,,,,,
Simon Williams,,Living,Male,,,,,,,,Marvel,1992.0,,1992-09-01,Doppelganger,,,,,,,
Samuel Guthrie,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,1982.0,657.0,1982-11-01,,,,,,,,
James Buchanan Barnes,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1941.0,641.0,1941-03-01,,,,,,,,
Remy LeBeau,Secret,Living,Male,Good,,,,Black Eyeballs,Brown,,Marvel,1990.0,636.0,1990-07-01,,,,,,,,
Daniel Rand,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,1974.0,618.0,1974-05-01,,,,,,,,
Daniel Rand,,Living,Male,Bad,,,,,,,Marvel,1998.0,1.0,1998-05-01,Dragonfist,,,,,,,
Daniel Rand,Secret,Deceased,Male,Good,,,,Blue,,,Marvel,1985.0,,1985-09-01,H'ylthri,,,,,,,
Nathan Summers,Public,Living,Male,Neutral,,,,Blue,White,,Marvel,1986.0,612.0,1986-01-01,,,,,,,,
Elizabeth Brant,No Dual,Living,Female,Good,,,,Brown,Brown,,Marvel,1963.0,599.0,1963-09-01,,,,,,,,
Richard Jones,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1962.0,590.0,1962-05-01,,,,,,,,
Richard Jones,Secret,Living,Male,Good,,,,Blue,Red,,Marvel,1940.0,19.0,1940-04-01,Phantom Reporter,,,,,,,
Richard Jones,Public,Living,Male,Neutral,,,,Brown,Brown,,Marvel,2002.0,1.0,2002-05-01,Impersonator,,,,,,,
Edwin Jarvis,No Dual,Living,Male,Good,,,,Blue,White,,Marvel,1964.0,567.0,1964-11-01,,,,,,,,
Edwin Jarvis,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2005.0,35.0,2005-03-01,Skrull,,,,,,,
Alexander Summers,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1969.0,558.0,1969-03-01,,,,,,,,
Patricia Walker,Secret,Living,Female,Good,,,,Blue,Red,,Marvel,1944.0,550.0,1944-11-01,,,,,,,,
Patricia Walker,Public,Deceased,Female,Good,,,,,,,Marvel,1996.0,12.0,1996-11-01,Heroes Reborn,,,,,,,
Human Torch,Public,Living,Male,Good,Human / radiation,178.0,77.0,Blue,Blond,,Marvel,1939.0,548.0,1939-10-01,Android,56.0,10.0,63.0,70.0,74.0,42.0,315.0
Loki Laufeyson,No Dual,Living,Genderfluid,Neutral,,,,Green,Black,,Marvel,1949.0,532.0,1949-08-01,,,,,,,,
Loki Laufeyson,Secret,Deceased,Male,Good,,,,Green,Black,,Marvel,2011.0,13.0,2011-01-01,Kid Loki,,,,,,,
Loki Laufeyson,,Deceased,Male,Bad,,,,,,,Marvel,1996.0,12.0,1996-11-01,Heroes Reborn,,,,,,,
Loki Laufeyson,Secret,Living,Male,Bad,,,,,Black,,Marvel,1996.0,3.0,1996-05-01,LMD,,,,,,,
Franklin Nelson,No Dual,Living,Male,Good,,,,Blue,Bald,,Marvel,1964.0,528.0,1964-04-01,,,,,,,,
Brian Braddock,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1976.0,528.0,1976-10-01,,,,,,,,
Otto Octavius,Secret,Deceased,Male,Neutral,,,,Hazel,Brown,,Marvel,1963.0,526.0,1963-07-01,,,,,,,,
James Rhodes,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1979.0,525.0,1979-01-01,,,,,,,,
Timothy Dugan,Public,Deceased,Male,Good,,,,Blue,Red,,Marvel,1963.0,517.0,1963-05-01,,,,,,,,
Timothy Dugan,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008.0,28.0,2008-07-01,Skrull,,,,,,,
Timothy Dugan,,Living,Male,Good,,,,,,,Marvel,1996.0,6.0,1996-11-01,Heroes Reborn,,,,,,,
Crystalia Amaquelin,Public,Living,Female,Good,,,,Green,Strawberry Blond,,Marvel,1965.0,512.0,1965-12-01,,,,,,,,
Samuel Wilson,Public,Living,Male,Good,,,,Brown,Black,,Marvel,1969.0,512.0,1969-09-01,,,,,,,,
Samuel Wilson,Public,Living,Male,Good,,,,,Grey,,DC,1970.0,4.0,1970-11-01,,,,,,,,
Wilson Fisk,Public,Living,Male,Bad,,,,Blue,Bald,,Marvel,1967.0,503.0,1967-07-01,,,,,,,,
Odin Borson,Public,Living,Male,Neutral,,,,Blue,White,,Marvel,1962.0,502.0,1962-10-01,,,,,,,,
Deadpool,Secret,Living,Male,Neutral,Mutant,188.0,95.0,Brown,Bald,,Marvel,1991.0,500.0,1991-02-01,Wade Wilson,50.0,15.0,30.0,100.0,100.0,100.0,395.0
Dane Whitman,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1967.0,478.0,1967-12-01,,,,,,,,
Dane Whitman,,Deceased,Male,Bad,,,,,,,Marvel,1998.0,1.0,1998-05-01,Knight Errant,,,,,,,
Harold Osborn,No Dual,Living,Male,Good,,,,Blue,Brown,,Marvel,1965.0,474.0,1965-12-01,,,,,,,,
Franklin Richards,No Dual,Living,Male,Good,Mutant,142.0,45.0,Blue,Blond,,Marvel,1968.0,473.0,1968-11-01,,,,,,,,
Jessica Drew,Secret,Living,Female,Good,,,,Green,Auburn,,Marvel,1977.0,471.0,1977-02-01,,,,,,,,
Roberto da Costa,Secret,Living,Male,Good,,,,Brown,Black,,Marvel,1982.0,464.0,1982-11-01,,,,,,,,
Roberto da Costa,Secret,Deceased,Male,Bad,,,,,Bald,,Marvel,1993.0,16.0,1993-09-01,Reignfire,,,,,,,
Rahne Sinclair,Secret,Living,Female,Good,,,,Green,Red,,Marvel,1982.0,448.0,1982-11-01,,,,,,,,
Elizabeth Ross,Public,Living,Female,Good,,,,Blue,Black,,Marvel,1962.0,446.0,1962-05-01,,,,,,,,
Elizabeth Ross,Public,Living,Female,Good,,,,,,,Marvel,1996.0,6.0,1996-11-01,Heroes Reborn,,,,,,,
Elizabeth Ross,No Dual,Living,Female,,,,,Blue,Brown,,Marvel,1972.0,1.0,1972-12-01,Counter-Earth,,,,,,,
Lorna Dane,Secret,Living,Female,Good,,,,Green,Green,,Marvel,1968.0,433.0,1968-10-01,,,,,,,,
Blaine Colt,Public,Deceased,Male,,,,,Blue,Blond,,Marvel,,429.0,,,,,,,,,
